attributes,choice_options,colors,variant,price,stock,variant_images,product_images
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Red Small,39.99,25,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Black Small,19.99,75,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Green Small,29.99,150,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Black Large,25.99,50,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Yellow Extra-large,25.99,150,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Red Medium,19.99,150,,
"{""size"": ""large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Green Extra-large,25.99,25,,
"{""size"": ""medium"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Red Large,49.99,75,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Blue Extra-large,19.99,150,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Purple Extra-large,25.99,150,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Yellow Large,39.99,50,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Green Large,19.99,75,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Yellow Small,19.99,50,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Black Small,29.99,25,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Green Medium,29.99,150,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Green Medium,19.99,75,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow""]",Purple Large,49.99,50,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Purple Extra-large,25.99,100,,
"{""size"": ""large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Purple Small,29.99,50,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Blue Small,49.99,150,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Red Large,49.99,75,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Green Extra-large,39.99,100,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Purple Small,49.99,50,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Red Large,25.99,50,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Yellow Large,49.99,100,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Red Extra-large,49.99,50,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Red Extra-large,49.99,100,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Red Small,39.99,25,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Purple Medium,39.99,75,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Blue Extra-large,19.99,100,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Yellow Medium,39.99,25,,
"{""size"": ""medium"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Blue Extra-large,25.99,75,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Black Medium,25.99,100,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow""]",Purple Small,19.99,100,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Green Medium,39.99,150,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Red Large,29.99,150,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Black Medium,25.99,75,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Yellow Medium,39.99,75,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Purple Large,39.99,100,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Red Extra-large,49.99,50,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green""]",Purple Extra-large,39.99,75,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Black Small,29.99,75,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green""]",Purple Large,25.99,25,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Yellow Large,49.99,75,,
"{""size"": ""large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Red Extra-large,19.99,150,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Green Extra-large,19.99,100,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Red Extra-large,19.99,75,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Red Large,39.99,25,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Purple Medium,19.99,100,,
"{""size"": ""medium"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Yellow Medium,39.99,150,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Blue Large,19.99,100,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Green Medium,25.99,75,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Red Medium,25.99,25,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Purple Medium,49.99,150,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Red Extra-large,49.99,75,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Yellow Small,29.99,75,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Red Medium,39.99,150,,
"{""size"": ""medium"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Purple Extra-large,39.99,150,,
"{""size"": ""large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Yellow Medium,49.99,150,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Red Large,25.99,150,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Yellow Small,39.99,75,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Red Medium,19.99,50,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Yellow Large,29.99,75,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Green Small,29.99,75,,
"{""size"": ""medium"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green""]",Yellow Extra-large,25.99,75,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Blue Medium,25.99,100,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Black Small,25.99,25,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green""]",Purple Small,49.99,100,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Blue Extra-large,39.99,150,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Green Medium,29.99,25,,
"{""size"": ""medium"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Yellow Medium,49.99,75,,
"{""size"": ""medium"", ""material"": ""silk""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Green Small,39.99,50,,
"{""size"": ""medium"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Green Large,39.99,25,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Blue Extra-large,25.99,150,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Green Small,25.99,100,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Yellow Medium,49.99,100,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Purple Extra-large,25.99,75,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Yellow Extra-large,39.99,100,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Green Medium,29.99,25,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Red Extra-large,49.99,50,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Purple Large,39.99,100,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Green Large,25.99,100,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Black Medium,29.99,100,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Blue Small,25.99,150,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Black Large,29.99,50,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Blue Large,19.99,150,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Yellow Extra-large,19.99,100,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green""]",Yellow Medium,49.99,150,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Green Extra-large,25.99,100,,
"{""size"": ""medium"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Purple Medium,25.99,75,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Green Medium,39.99,150,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Blue Small,25.99,150,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Purple Medium,49.99,50,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Yellow Extra-large,39.99,100,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Purple Extra-large,49.99,100,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Purple Large,25.99,50,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Black Small,29.99,25,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Green Large,39.99,150,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Blue Extra-large,39.99,50,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Green Small,29.99,75,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Blue Extra-large,49.99,100,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow""]",Purple Medium,19.99,150,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Green Extra-large,49.99,25,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Purple Extra-large,39.99,75,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow""]",Yellow Large,25.99,75,,
"{""size"": ""large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Blue Extra-large,25.99,75,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Blue Large,29.99,100,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Yellow Small,49.99,75,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Red Extra-large,29.99,75,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow""]",Yellow Medium,19.99,25,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Purple Extra-large,25.99,75,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Black Medium,39.99,150,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Green Small,19.99,150,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Red Small,29.99,150,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Green Extra-large,39.99,150,,
"{""size"": ""medium"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Blue Small,29.99,50,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Blue Extra-large,19.99,75,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Black Extra-large,49.99,150,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Purple Small,39.99,100,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Blue Large,25.99,100,,
"{""size"": ""medium"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Purple Medium,39.99,50,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Black Small,39.99,150,,
